Telledata: Rådata;;;;;Felt 1 og 3;Fra Festplassen;;;
Utskriftsdato: 27. februar 2017;;;;;Felt 1 og 3;Fra Festplassen;;;
Tellepunkt: 1200703 - CHRISTIESGT;;;;;;;;
EV 16 Hp: 15 Km: 1509;;;;;;;;
date;time;roadLaneMeasured;numOfVehicles;numOfVehiclesClass1;numOfVehiclesClass2;numOfVehiclesClass3;numOfVehiclesClass4;numOfVehiclesClass5;;
11.05.2016;05:00;3;21;17;0;1;3;0
11.05.2016;06:00;1;36;27;4;5;0;0
11.05.2016;06:00;3;39;23;1;4;10;1
11.05.2016;07:00;1;214;170;7;26;6;5
11.05.2016;07:00;3;133;48;3;30;45;7
11.05.2016;08:00;1;405;341;21;25;10;7
11.05.2016;08:00;3;223;74;5;63;60;19
11.05.2016;09:00;1;501;432;26;33;5;3
11.05.2016;09:00;3;259;102;2;69;71;13
11.05.2016;10:00;1;425;369;14;28;8;5
11.05.2016;10:00;3;227;128;4;52;34;7
11.05.2016;11:00;1;435;365;34;24;7;3
11.05.2016;11:00;3;215;119;10;37;38;11
11.05.2016;12:00;1;418;368;25;16;7;2
11.05.2016;12:00;3;223;138;6;32;38;9
11.05.2016;13:00;1;485;423;28;25;5;1
11.05.2016;13:00;3;232;142;13;25;40;12
11.05.2016;14:00;1;473;429;15;22;4;2
11.05.2016;14:00;3;239;140;11;37;40;10
11.05.2016;15:00;1;471;420;18;24;5;2
11.05.2016;15:00;3;269;139;8;43;62;16
11.05.2016;16:00;1;490;426;21;26;13;4
11.05.2016;16:00;3;292;133;11;56;75;17
11.05.2016;17:00;1;495;450;11;20;8;4
11.05.2016;17:00;3;264;124;7;55;65;12
11.05.2016;18:00;1;455;420;6;19;7;2
11.05.2016;18:00;3;264;153;9;38;49;15
11.05.2016;19:00;1;399;373;6;15;3;1
11.05.2016;19:00;3;217;142;2;27;35;11
11.05.2016;20:00;1;349;327;2;12;7;1
11.05.2016;20:00;3;173;108;0;17;39;8
11.05.2016;21:00;1;355;335;7;6;6;0
11.05.2016;21:00;3;189;125;3;23;29;8
11.05.2016;22:00;1;298;282;2;9;4;1
11.05.2016;22:00;3;152;99;2;19;27;5
11.05.2016;23:00;1;219;208;1;7;3;0
11.05.2016;23:00;3;121;77;2;15;22;5
